Rank,Title
1,DevOps Engineer
2,Web Developer
3,Information Security Analyst
4,Data Scientist 
5,Business Analyst
6,Software Developer
7,Software Engineer
8,Machine Learning Expert
9,Database Administrator
10,Data Analyst
11,IT Consultant
12,SAP Consultant
13,Big Data Engineer
14,Project Manager
15,Software Tester
16,Data Engineer
17,Data Analyst
18,Digital Marketer
19,Machine Learning Engineer
20,Data Science Generalist
21,IT Engineer
22,Java Developer
23,Analyst
24,Security Analyst
25,Full Stack Developer
26,IT Support
27,Designer
28,Data Architect
29,Financial Analyst
30,Technical Engineer




